stem,idf
pa,80385
ba,80165
ma,79771
la,79725
par,79594
dang,79525
kyi,79496
na,79412
de,79411
du,79220
dag,78238
gyi,78138
rnam,78063
yang,77336
bya,77257
bar,77137
gi,76994
ni,76643
mi,75665
te,75165
sa,74896
su,74515
tu,73628
da,73574
med,72929
zhin,72888
gyur,72782
zhe,72752
ste,71896
di,71768
gang,70984
nyid,70579
byed,69705
bu,68338
yin,68297
cad,67759
ra,67280
she,66545
cha,66499
lta,66038
ltar,65832
nga,65355
ga,63699
kyang,63463
ldan,63297
phyir,63248
can,63162
tham,63065
cig,61135
kha,60614
sem,60613
byung,60369
zhan,60317
rgya,60051
nyi,59958
dan,59783
stan,57888
rab,57740
sag,57284
rang,57133
sum,56032
dad,55622
skye,55570
ji,55402
rje,55217
tha,54451
ngan,54000
rtag,53898
rig,53275
zhi,53022
chen,51794
sang,51308
tshan,51088
gra,50197
chag,49759
ta,49539
ce,49144
ci,48731
bang,48557
kun,48466
lag,48093
zhing,48078
phyag,47935
cing,47735
rten,46575
ge,46515
thab,46454
sam,45621
yad,45108
jig,44745
tshig,44697
nye,44637
byang,44543
pa',44505
ca,42759
zhig,42748
khar,42350
sal,42282
nam,42079
spyad,42000
dzin,41602
dam,41591
lu,41345
skad,41088
yan,41044
tshe,40944
nge,40599
chad,40515
sbyar,40347
tshag,40271
rjad,40085
shing,39899
sung,39363
yi,39314
ral,39120
mang,39031
mig,38436
cam,37501
ga',37432
thang,37417
shad,37415
chub,37339
tan,37261
rgyu,36824
nyam,36650
zug,36513
jug,36481
che,36198
zhug,36046
rgyal,36013
ya,35935
khyad,35735
zad,35442
pha,35167
lha,35156
bla,34908
yid,34485
lam,34364
rdzag,34325
nyan,33822
grub,33655
sgrub,33653
cu,33467
tshul,33336
nang,32734
lnga,32674
zung,32598
me,32307
skyed,32127
phyi,31999
smra,31432
dra,31319
mar,31189
zhag,31097
sheg,31069
stang,31023
dun,30965
bra,30892
tag,30796
tsam,30688
gal,30643
sgra,30246
snying,30221
thag,30054
dri,29816
g,29631
shin,29516
snyam,29351
spang,29222
byar,28970
bye,28911
byin,28519
dir,28365
rda,28302
dzad,28116
sna,28111
yul,28107
nu,27920
snang,27809
thun,27770
ye,27731
rtsa,27383
bral,27375
sbyin,27266
ka,27249
grang,26791
re,26599
ri,26496
thar,26486
sngan,26480
phyin,26336
kham,26315
chu,25802
zla,25788
rim,25729
nad,25356
za,25323
gu,25244
phag,25222
drug,25169
srid,25109
ka',25075
lang,24987
lhag,24959
'a,24909
tha',24801
sga,24588
'ang,24062
rgyad,24061
dug,23730
snga,23334
sha,23270
sar,23161
sdu,23118
thug,22983
sgam,22595
tshad,22490
slab,22276
rung,22254
sngag,22249
phan,22166
der,21933
tsha,21921
zang,21493
'ad,21428
nar,21274
lan,21263
tshal,21234
sdug,21123
sad,20882
sku,20854
leg,20782
tshang,20582
stab,20106
dar,20059
khang,19611
sma,19493
tsham,19329
zer,19128
dud,19016
ba',18938
tsa,18891
ting,18826
kha',18764
kyil,18568
rtse,18390
slang,18180
ru,18022
chi,17980
'ag,17904
bur,17856
