syllable,idf
pa,80329
ba,79800
pa'i,79538
par,79532
dang,79493
ma,79304
la,79127
de,78953
kyi,78486
du,77750
na,77384
po,76989
ba'i,76775
bar,76707
ni,76638
yang,76096
mi,75443
te,75153
dag,74897
gyi,74258
su,74244
las,74033
tu,73508
gi,73333
bya,73246
med,72929
bzhin,72878
pas,72751
ste,71878
nas,71660
rnams,70593
nyid,70156
'di,69852
zhes,69387
byed,69214
rnam,69179
kyis,69024
gang,68642
so,68426
yin,68297
ltar,65724
'gyur,64765
shes,64397
gnas,64047
gyis,63562
kyang,63453
ldan,63263
phyir,63245
can,62865
cad,62777
thams,62766
lta,61087
ro,61035
bu,60695
sems,60610
gis,59744
bas,58100
gzhan,57553
bdag,57271
rab,57114
do,56437
chos,56342
rang,56087
gyur,55947
byas,55819
ji,55332
sogs,54936
no,54931
de'i,54550
don,53531
gnyis,52456
chen,51793
pa'o,50598
bo,49712
rgyas,49366
bya'o,48700
gcig,48502
kun,48461
ngo,48394
zhing,48069
gsum,47369
bstan,47318
dbang,46357
mtshan,46152
'das,46030
'dod,45929
ces,45920
po'i,45916
yod,45008
cing,44647
'byung,44537
mngon,44499
yongs,42822
mo,42368
zhig,42088
byang,41735
'dzin,41570
skad,41077
skye,40869
to,40788
'khor,40513
rten,40032
go,40007
byung,39939
shing,39897
lus,39853
ci,39810
tshogs,39774
sangs,39676
brjod,39592
rjes,39572
zhe,39546
des,39530
cig,39403
spyod,39259
'gro,38585
dam,38373
sa,37681
tshe,37533
tshig,37345
chub,37339
bcom,37327
skyes,37245
bshad,36929
rigs,36766
'jig,36761
yi,35829
rol,35614
dngos,35362
rgyal,35350
phyogs,35260
mthong,35008
gzugs,34994
bcas,34908
bzhi,34761
nam,34537
gsungs,34520
yid,34485
nye,34424
lam,34349
rdzogs,34315
'jug,34185
lo,34127
tha,34012
dge,33993
rgyu,33972
dus,33844
ma'i,33395
tshul,33314
rig,32489
kha,32340
ston,32296
ga,32074
ba'o,32055
bsam,32045
bde,32044
thob,31932
rgya,31716
gshegs,30921
dpa',30909
mchog,30836
rje,30724
tsam,30504
nges,30486
lag,30226
snying,30218
chags,30178
stong,29916
nang,29863
g,29631
lnga,29419
dga',29375
me,29273
yon,29204
por,28991
lha,28980
grub,28902
kho,28538
'bras,28518
'dir,28248
yul,28107
che,27921
snang,27791
ye,27686
sbyin,27266
rtsa,27196
shin,27074
pha,26905
sna,26560
sbyor,26539
sngon,26423
bu'i,26340
phyin,26329
bcu,26256
da,26189
phyi,26088
gal,26039
phyag,25934
bral,25799
zad,25672
re,25399
rdo,25381
rtogs,25305
drug,25162
srid,25105
mdzad,25057
ngan,25048
thos,24818
mtha',24766
sum,24675
bskyed,24560
